thang;bulan;tgl_cutoff;nama_pemda;pendapatan;belanja;pembiayaan;SILPA
2026;1;2026-01-31;Provinsi Maluku;317400516163;59894773589;-16852263071;240653479503
2026;1;2026-01-31;Kabupaten Kepulauan Tanimbar;74557711753;0;0;74557711753
2026;1;2026-01-31;Kabupaten Maluku Tengah;172207423384;45202125011;0;127005298373
2026;1;2026-01-31;Kabupaten Maluku Tenggara;55946405983;18668288580;0;37278117403
2026;1;2026-01-31;Kabupaten Buru;71346136925;27072551508;0;44273585417
2026;1;2026-01-31;Kota Ambon;91064031781;37400292762;8307514365;61971253384
2026;1;2026-01-31;Kabupaten Seram Bagian Barat;78471129377;26793467273;70984345879;122662007983
2026;1;2026-01-31;Kabupaten Seram Bagian Timur;86070796897;19124292828;0;66946504069
2026;1;2026-01-31;Kabupaten Kepulauan Aru;85995185270;71395450;12757652364;98681442184
2026;1;2026-01-31;Kota Tual;47265865656;20548143701;8879074011;35596795966
2026;1;2026-01-31;Kabupaten Maluku Barat Daya;54323005691;17508954597;11389846478;48203897572
2026;1;2026-01-31;Kabupaten Buru Selatan;72822673037;32022035121;1043140679;41843778595
2026;2;2026-02-28;Provinsi Maluku;313724973367;194070059347;0;119654914020
2026;2;2026-02-28;Kabupaten Kepulauan Tanimbar;107201920516;50764951539;0;56436968977
2026;2;2026-02-28;Kabupaten Maluku Tengah;140109115000;48067457051;0;92041657949
2026;2;2026-02-28;Kabupaten Maluku Tenggara;1103836152230;421752314437;0;682083837792
2026;2;2026-02-28;Kabupaten Buru;115684188715;49810688994;0;65873499721
2026;2;2026-02-28;Kota Ambon;25639653829;82185038438;0;-56545384609
2026;2;2026-02-28;Kabupaten Seram Bagian Barat;0;24526213572;0;-24526213572
2026;2;2026-02-28;Kabupaten Seram Bagian Timur;0;42379839567;0;-42379839567
2026;2;2026-02-28;Kabupaten Kepulauan Aru;117998214932;1072054556;0;116926160376
2026;2;2026-02-28;Kota Tual;95305365211;49309007537;17758148023;63754505697
2026;2;2026-02-28;Kabupaten Maluku Barat Daya;74887610780;72695027148;0;2192583632
2026;2;2026-02-28;Kabupaten Buru Selatan;95505346460;57651475786;1783333334;39637204008
2026;3;2026-03-31;Provinsi Maluku;419670120303;357718867462;0;61951252841
2026;3;2026-03-31;Kabupaten Kepulauan Tanimbar;138655259423;92134166692;0;46521092732
2026;3;2026-03-31;Kabupaten Maluku Tengah;298151208401;234677776470;0;63473431931
2026;3;2026-03-31;Kabupaten Maluku Tenggara;119501181424;78802283162;0;40698898262
2026;3;2026-03-31;Kabupaten Buru;122345519119;109641699259;-100000000;12603819860
2026;3;2026-03-31;Kota Ambon;263296833859;195227552109;0;68069281750
2026;3;2026-03-31;Kabupaten Seram Bagian Barat;176388000485;78255279300;0;98132721185
2026;3;2026-03-31;Kabupaten Seram Bagian Timur;140211431618;47182300049;0;93029131569
2026;3;2026-03-31;Kabupaten Kepulauan Aru;78990241776;76837146382;0;2153095394
2026;3;2026-03-31;Kota Tual;211249329266;114907687415;26637222034;122978863885
2026;3;2026-03-31;Kabupaten Maluku Barat Daya;75386555288;109542516925;0;-34155961637
2026;3;2026-03-31;Kabupaten Buru Selatan;119600972830;82573362417;2674999999;39702610412
2026;4;2026-04-30;Provinsi Maluku;529481860807;446263397927;-45557408544;37661054336
2026;4;2026-04-30;Kabupaten Kepulauan Tanimbar;160227796403;121876427130;0;38351369273
2026;4;2026-04-30;Kabupaten Maluku Tengah;335221763851;309019362101;0;26202401750
2026;4;2026-04-30;Kabupaten Maluku Tenggara;120264605927;133775284471;0;-13510678544
2026;4;2026-04-30;Kabupaten Buru;157906422104;152184919942;-100000000;5621502162
2026;4;2026-04-30;Kota Ambon;263336323008;258769151515;0;4567171493
2026;4;2026-04-30;Kabupaten Seram Bagian Barat;88591046700;119286342143;0;-30695295443
2026;4;2026-04-30;Kabupaten Seram Bagian Timur;205732456205;172639912874;0;33092543331
2026;4;2026-04-30;Kabupaten Kepulauan Aru;126025867060;57016073062;0;69009793998
2026;4;2026-04-30;Kota Tual;118599480157;122196490730;0;-3597010573
2026;4;2026-04-30;Kabupaten Maluku Barat Daya;79318797387;150492412341;0;-71173614954
2026;4;2026-04-30;Kabupaten Buru Selatan;168887551225;135820824328;2674999999;35741726896
2026;5;2026-05-31;Provinsi Maluku;718375403575;642193649758;-56946760680;19234993137
2026;5;2026-05-31;Kabupaten Kepulauan Tanimbar;174027715164;169300937945;0;4726777219
2026;5;2026-05-31;Kabupaten Maluku Tengah;37070555450;74341585630;0;-37271030180
2026;5;2026-05-31;Kabupaten Maluku Tenggara;190920972990;181844953307;0;9076019683
2026;5;2026-05-31;Kabupaten Buru;199667828965;188742282294;-300000000;10625546671
2026;5;2026-05-31;Kota Ambon;336672492345;319173134840;0;17499357505
2026;5;2026-05-31;Kabupaten Seram Bagian Barat;176254283271;155567200038;0;20687083233
2026;5;2026-05-31;Kabupaten Seram Bagian Timur;233947718529;214544951068;0;19402767461
2026;5;2026-05-31;Kabupaten Kepulauan Aru;172737368935;111141063373;0;61596305562
2026;5;2026-05-31;Kota Tual;165366223060;175413230481;13685151024;3638143603
2026;5;2026-05-31;Kabupaten Maluku Barat Daya;236244671318;224436338809;-8448048577;3360283932
2026;5;2026-05-31;Kabupaten Buru Selatan;229570094130;168834893595;4458333333;65193533868
2026;6;2026-06-30;Provinsi Maluku;933134823475;886728360714;-68336112816;-21929650055
2026;6;2026-06-30;Kabupaten Kepulauan Tanimbar;256564707717;235048206930;0;21516500787
2026;6;2026-06-30;Kabupaten Maluku Tengah;690447463305;613037461518;0;77410001787
2026;6;2026-06-30;Kabupaten Maluku Tenggara;232613031363;243718715058;0;-11105683695
2026;6;2026-06-30;Kabupaten Buru;236518239356;238836408572;-450000000;-2768169216
2026;6;2026-06-30;Kota Ambon;472079076160;386037987682;77368497565;163409586043
2026;6;2026-06-30;Kabupaten Seram Bagian Barat;269962296514;252172180768;0;17790115746
2026;6;2026-06-30;Kabupaten Seram Bagian Timur;297912146543;252810460577;0;45101685966
2026;6;2026-06-30;Kabupaten Kepulauan Aru;276876635011;210376790298;0;66499844713
2026;6;2026-06-30;Kota Tual;201531403298;213357514256;13685151024;1859040066
2026;6;2026-06-30;Kabupaten Maluku Barat Daya;241502024857;265377921134;-8448048577;-32323944854
2026;6;2026-06-30;Kabupaten Buru Selatan;259370331246;175241191388;4458333333;88587473191
2026;7;2026-07-31;Provinsi Maluku;1362508134575;1126890989186;-68846073948;166771071441
2026;7;2026-07-31;Kabupaten Kepulauan Tanimbar;286353118518;320488791777;0;-34135673259
2026;7;2026-07-31;Kabupaten Maluku Tengah;624307689827;691048058845;0;-66740369018
2026;7;2026-07-31;Kabupaten Maluku Tenggara;299018618435;314300108638;19135071712;3853581509
2026;7;2026-07-31;Kabupaten Buru;278742013983;272330918014;-450000000;5961095969
2026;7;2026-07-31;Kota Ambon;501450540456;575456201958;75167725594;1162064092
