thang,bulan,tgl_cutoff,komp_ang,pagu_target,realisasi,,,,,,,,
2025,1,2026-01-31,p_pajak_dn,1785457814000,91488030501,,,,,,,,          a.  Pajak Dalam Negeri
2025,1,2026-01-31,p_pajak_ln,1078462000,242990000,,,,,,,,          b.  Pajak Perdagangan Internasional
2025,1,2026-01-31,p_pnbp_lain,142318093000,50534829943,,,,,,,,               c. PNBP Lainnya
2025,1,2026-01-31,p_blu,363438547000,3380438490,,,,,,,,               d. Pendapatan Badan Layanan Umum
2025,1,2026-01-31,b_pegawai,3906513097000,220293400564,,,,,,,,         1. Belanja Pegawai
2025,1,2026-01-31,b_barang,3121172653000,28274855057,,,,,,,,         2. Belanja Barang
2025,1,2026-01-31,b_modal,1567511550000,1044129000,,,,,,,,         3. Belanja Modal
2025,1,2026-01-31,b_bansos,23396550000,0,,,,,,,,         7. Bantuan Sosial
2025,1,2026-01-31,b_dbh,240023586000,10273314600,,,,,,,,                       - Dana Bagi Hasil
2025,1,2026-01-31,b_dakfisik,511218076000,0,,,,,,,,                       - Dana Alokasi Khusus Fisik
2025,1,2026-01-31,b_daknonfisik,1784040228000,290000218500,,,,,,,,                       - Dana Alokasi Khusus Non Fisik
2025,1,2026-01-31,b_dau,8101686063000,925439669500,,,,,,,,                       - Dana Alokasi Umum
2025,1,2026-01-31,b_infis,47673476000,0,,,,,,,,                 b.  Dana Insentif Daerah
2025,1,2026-01-31,b_danadesa,1018360053000,30129762100,,,,,,,,        B. Dana Desa
2025,2,2026-02-28,p_pajak_dn,1785457814000,149693413330,,,,,,,,
2025,2,2026-02-28,p_pajak_ln,1078462000,327204000,,,,,,,,
2025,2,2026-02-28,p_pnbp_lain,142318093000,73445475303,,,,,,,,
2025,2,2026-02-28,p_blu,363438547000,18315670767,,,,,,,,
2025,2,2026-02-28,b_pegawai,3906513097000,473365710793,,,,,,,,
2025,2,2026-02-28,b_barang,3121172653000,157638804805,,,,,,,,
2025,2,2026-02-28,b_modal,1567511550000,15250801022,,,,,,,,
2025,2,2026-02-28,b_bansos,23396550000,4026000000,,,,,,,,
2025,2,2026-02-28,b_dbh,240023586000,14991916200,,,,,,,,
2025,2,2026-02-28,b_dakfisik,511218076000,0,,,,,,,,
2025,2,2026-02-28,b_daknonfisik,1784040228000,297531277216,,,,,,,,
2025,2,2026-02-28,b_dau,8101686063000,1281781840500,,,,,,,,
2025,2,2026-02-28,b_infis,47673476000,0,,,,,,,,
2025,2,2026-02-28,b_danadesa,1018360053000,45119173900,,,,,,,,
2025,3,2026-03-31,p_pajak_dn,1785457814000,230747660382,,,,,,,,
2025,3,2026-03-31,p_pajak_ln,1078462000,354029000,,,,,,,,
2025,3,2026-03-31,p_pnbp_lain,142318093000,97814713767,,,,,,,,
2025,3,2026-03-31,p_blu,363438547000,44477461448,,,,,,,,
2025,3,2026-03-31,b_pegawai,3906513097000,948451339407,,,,,,,,
2025,3,2026-03-31,b_barang,3121172653000,317079352575,,,,,,,,
2025,3,2026-03-31,b_modal,1567511550000,61813970976,,,,,,,,
2025,3,2026-03-31,b_bansos,23396550000,5615400000,,,,,,,,
2025,3,2026-03-31,b_dbh,240023586000,24724169850,,,,,,,,
2025,3,2026-03-31,b_dakfisik,511218076000,0,,,,,,,,
2025,3,2026-03-31,b_daknonfisik,1784040228000,384638069416,,,,,,,,
2025,3,2026-03-31,b_dau,8101686063000,2070817475500,,,,,,,,
2025,3,2026-03-31,b_infis,47673476000,0,,,,,,,,
2025,3,2026-03-31,b_danadesa,1018360053000,103874477012,,,,,,,,
2026,1,2026-01-31,p_pajak_dn,1668982507000,72049346011,,,,,,,,
2026,1,2026-01-31,p_pajak_ln,1476935000,208204000,,,,,,,,
2026,1,2026-01-31,p_pnbp_lain,152049999000,64160463841,,,,,,,,
2026,1,2026-01-31,p_blu,374046538000,2277823887,,,,,,,,
2026,1,2026-01-31,b_pegawai,3860705826000,258295853444,,,,,,,,
2026,1,2026-01-31,b_barang,2830196048000,45370061978,,,,,,,,
2026,1,2026-01-31,b_modal,1674313593000,385007142,,,,,,,,
2026,1,2026-01-31,b_bansos,0,0,,,,,,,,
2026,1,2026-01-31,b_dbh,74120618000,2079721300,,,,,,,,
2026,1,2026-01-31,b_dakfisik,147007283000,0,,,,,,,,
2026,1,2026-01-31,b_daknonfisik,2164910616000,277419569400,,,,,,,,
2026,1,2026-01-31,b_dau,6755391765000,1063624911250,,,,,,,,
2026,1,2026-01-31,b_infis,0,0,,,,,,,,
2026,1,2026-01-31,b_danadesa,889688342000,0,,,,,,,,
2026,2,2026-02-28,p_pajak_dn,1668982507000,123030825871,,,,,,,,
2026,2,2026-02-28,p_pajak_ln,1476935000,208842000,,,,,,,,
2026,2,2026-02-28,p_pnbp_lain,152049999000,89699727176,,,,,,,,
2026,2,2026-02-28,p_blu,374046538000,18776747858,,,,,,,,
2026,2,2026-02-28,b_pegawai,3861926672000,567579557038,,,,,,,,
2026,2,2026-02-28,b_barang,2905680397000,196517104914,,,,,,,,
2026,2,2026-02-28,b_modal,1703673335000,31318470644,,,,,,,,
2026,2,2026-02-28,b_bansos,0,0,,,,,,,,
2026,2,2026-02-28,b_dbh,74120618000,4571509900,,,,,,,,
