periode,kab_kota,inflow_rp_juta,outflow_rp_juta,net_flow_rp_juta
2020-Q1,Provinsi Maluku,1536469.41,-356315.93,1180153.49
2020-Q2,Provinsi Maluku,565941.73,-1004988.6,-439046.87
2020-Q3,Provinsi Maluku,482668.98,-675444.56,-192775.58
2020-Q4,Provinsi Maluku,324287.59,-1685491.24,-1361203.64
2021-Q1,Provinsi Maluku,1615094.58,-159754.24,1455340.34
2021-Q2,Provinsi Maluku,849005.65,-1232525.01,-383519.36
2021-Q3,Provinsi Maluku,639118.94,-683918.81,-44799.87
2021-Q4,Provinsi Maluku,365331.75,-1782002.17,-1416670.42
2022-Q1,Provinsi Maluku,1477776.0,-280256.91,1197519.08
2022-Q2,Provinsi Maluku,952245.94,-1176552.0,-224306.06
2022-Q3,Provinsi Maluku,640767.56,-827303.83,-186536.27
2022-Q4,Provinsi Maluku,481000.23,-1805458.71,-1324458.47
2023-Q1,Provinsi Maluku,1677013.73,-458929.31,1218084.42
2023-Q2,Provinsi Maluku,879607.28,-1153263.97,-273656.69
2023-Q3,Provinsi Maluku,676503.34,-882467.11,-205963.77
2023-Q4,Provinsi Maluku,546221.18,-1692866.19,-1146645.01
2024-Q1,Provinsi Maluku,1443674.83,-493988.47,949686.36
2024-Q2,Provinsi Maluku,755114.61,-1046258.38,-291143.78
2024-Q3,Provinsi Maluku,523346.46,-563230.17,-39883.71
2024-Q4,Provinsi Maluku,301206.07,-1691667.59,-1390461.52
2025-Q1,Provinsi Maluku,1214000.0,-654000.0,560000.0
2025-Q2,Provinsi Maluku,699000.0,-539000.0,160000.0
2025-Q3,Provinsi Maluku,468000.0,-719000.0,-251000.0
2025-Q4,Provinsi Maluku,216664.82,-1503981.3,-1287316.48
2026-Q1,Provinsi Maluku,1226014.54,-787769.48,438245.06
2026-Q2,Provinsi Maluku,519399.25,-456601.74,62797.51
