periode,kab_kota,jenis_transaksi,volume_transaksi,nilai_rp_juta
2023-Q1,Provinsi Maluku,QRIS,158.45,30.39
2023-Q2,Provinsi Maluku,QRIS,188.94,35.43
2023-Q3,Provinsi Maluku,QRIS,291.36,49.41
2023-Q4,Provinsi Maluku,QRIS,419.8,89.13
2024-Q1,Provinsi Maluku,QRIS,1001.57,102.36
2024-Q2,Provinsi Maluku,QRIS,1387.36,170.75
2024-Q3,Provinsi Maluku,QRIS,1003.42,171.8
2024-Q4,Provinsi Maluku,QRIS,1195.48,199.06
2025-Q1,Provinsi Maluku,QRIS,1470.82,209.54
2025-Q2,Provinsi Maluku,QRIS,1810.61,241.68
2025-Q3,Provinsi Maluku,QRIS,2209.13,302.66
2025-Q4,Provinsi Maluku,QRIS,2677.53,354.46
2026-Q1,Provinsi Maluku,QRIS,3590.32,460.55
2026-Q2,Provinsi Maluku,QRIS,4225.51,460.2
