kab_kota,miskin_2020,miskin_2021,miskin_2022,miskin_2023,miskin_2024,miskin_2025
Kepulauan Tanimbar,27.11,27.27,23.88,24.47,23.66,23.38
Maluku Tenggara,22.57,22.73,21.19,21.79,21.22,21.16
Maluku Tengah,19.83,19.84,17.46,17.84,17.67,16.71
Buru,16.64,17.28,15.82,16.53,16.08,15.11
Kepulauan Aru,26.26,26.53,23.51,24.21,23.39,23.1
Seram Bagian Barat,25.11,25.27,22.25,22.39,22.31,21.85
Seram Bagian Timur,23.04,23.25,20.73,21.08,21.03,20.9
Maluku Barat Daya,29.15,29.55,27.64,28.78,27.95,27.65
Buru Selatan,15.75,15.89,14.75,15.28,14.91,14.84
Ambon,4.51,5.02,4.68,5.25,5.13,4.34
Tual,22.51,23.26,20.56,20.68,20.01,19.39
Maluku,17.44,17.87,15.97,16.42,16.05,15.38
