periode,kab_kota,persen_miskin,garis_kemiskinan_ribu_rp
2019-03,Kepulauan Tanimbar,27.25,423.823
2019-03,Maluku Tenggara,22.75,464.649
2019-03,Maluku Tengah,20.04,474.224
2019-03,Buru,16.74,463.169
2019-03,Kepulauan Aru,26.73,438.848
2019-03,Seram Bagian Barat,25.16,394.628
2019-03,Seram Bagian Timur,23.13,375.04
2019-03,Maluku Barat Daya,29.43,468.842
2019-03,Buru Selatan,16.13,596.469
2019-03,Kota Ambon,4.57,571.315
2019-03,Kota Tual,22.68,535.425
2019-03,Maluku,17.69,508.777
2020-03,Kepulauan Tanimbar,27.11,479.402
2020-03,Maluku Tenggara,22.57,517.821
2020-03,Maluku Tengah,19.83,503.8
2020-03,Buru,16.64,492.055
2020-03,Kepulauan Aru,26.26,490.565
2020-03,Seram Bagian Barat,25.11,419.793
2020-03,Seram Bagian Timur,23.04,398.43
2020-03,Maluku Barat Daya,29.15,521.899
2020-03,Buru Selatan,15.75,628.659
2020-03,Kota Ambon,4.51,596.042
2020-03,Kota Tual,22.51,574.105
2020-03,Maluku,17.44,555.197
2021-03,Kepulauan Tanimbar,27.27,506.106
2021-03,Maluku Tenggara,22.73,549.047
2021-03,Maluku Tengah,19.84,515.582
2021-03,Buru,17.28,503.254
2021-03,Kepulauan Aru,26.53,516.604
2021-03,Seram Bagian Barat,25.27,427.355
2021-03,Seram Bagian Timur,23.25,403.573
2021-03,Maluku Barat Daya,29.55,535.594
2021-03,Buru Selatan,15.89,644.441
2021-03,Kota Ambon,5.02,621.482
2021-03,Kota Tual,23.26,600.172
2021-03,Maluku,17.87,587.73
2022-03,Kepulauan Tanimbar,23.88,546.3
2022-03,Maluku Tenggara,21.19,595.041
2022-03,Maluku Tengah,17.46,542.782
2022-03,Buru,15.82,530.858
2022-03,Kepulauan Aru,23.51,562.416
2022-03,Seram Bagian Barat,22.25,449.297
2022-03,Seram Bagian Timur,20.73,421.902
2022-03,Maluku Barat Daya,27.64,586.021
2022-03,Buru Selatan,14.75,677.044
2022-03,Kota Ambon,4.68,661.016
2022-03,Kota Tual,20.56,640.542
2022-03,Maluku,15.97,631.326
2023-03,Kepulauan Tanimbar,24.47,615.768
2023-03,Maluku Tenggara,21.79,669.14
2023-03,Maluku Tengah,17.84,589.125
2023-03,Buru,16.53,584.277
2023-03,Kepulauan Aru,24.21,626.086
2023-03,Seram Bagian Barat,22.39,486.747
2023-03,Seram Bagian Timur,21.08,458.176
2023-03,Maluku Barat Daya,28.78,658.036
2023-03,Buru Selatan,15.28,743.721
2023-03,Kota Ambon,5.25,716.56
2023-03,Kota Tual,20.68,722.498
2023-03,Maluku,16.42,684.02
2024-03,Kepulauan Tanimbar,23.66,645.956
2024-03,Maluku Tenggara,21.22,695.738
2024-03,Maluku Tengah,17.67,614.323
2024-03,Buru,16.08,610.346
2024-03,Kepulauan Aru,23.39,644.112
2024-03,Seram Bagian Barat,22.31,508.517
2024-03,Seram Bagian Timur,21.03,478.721
2024-03,Maluku Barat Daya,27.95,686.428
2024-03,Buru Selatan,14.91,769.919
2024-03,Kota Ambon,5.13,750.166
2024-03,Kota Tual,20.01,746.967
2024-03,Maluku,16.05,713.503
2025-03,Kepulauan Tanimbar,23.38,682.859
2025-03,Maluku Tenggara,21.16,728.291
2025-03,Maluku Tengah,16.71,643.104
2025-03,Buru,15.11,638.726
2025-03,Kepulauan Aru,23.1,673.363
2025-03,Seram Bagian Barat,21.85,554.14
2025-03,Seram Bagian Timur,20.9,524.878
2025-03,Maluku Barat Daya,27.65,719.253
2025-03,Buru Selatan,14.84,789.414
2025-03,Kota Ambon,4.34,783.697
2025-03,Kota Tual,19.39,777.956
2025-03,Maluku,15.38,757.6
2026-03,Maluku,14.91,825.638
