periode,kab_kota,growth_persen
2019,Kepulauan Tanimbar,5.977795
2019,Maluku Tenggara,5.854839
2019,Maluku Tengah,5.834885
2019,Buru,6.060023
2019,Kepulauan Aru,5.820963
2019,Seram Bagian Barat,5.562946
2019,Seram Bagian Timur,1.000661
2019,Maluku Barat Daya,5.993331
2019,Buru Selatan,5.881444
2019,Kota Ambon,5.775565
2019,Kota Tual,5.870153
2019,Maluku,5.405536
2020,Kepulauan Tanimbar,-0.029555
2020,Maluku Tenggara,-0.223161
2020,Maluku Tengah,-0.395551
2020,Buru,-0.022698
2020,Kepulauan Aru,-0.036071
2020,Seram Bagian Barat,-0.170942
2020,Seram Bagian Timur,-0.056475
2020,Maluku Barat Daya,-0.129904
2020,Buru Selatan,-0.011538
2020,Kota Ambon,-1.948932
2020,Kota Tual,-0.182125
2020,Maluku,-0.913254
2021,Kepulauan Tanimbar,3.826501
2021,Maluku Tenggara,3.417405
2021,Maluku Tengah,3.315552
2021,Buru,2.96862
2021,Kepulauan Aru,3.465177
2021,Seram Bagian Barat,3.399464
2021,Seram Bagian Timur,1.605265
2021,Maluku Barat Daya,19.407644
2021,Buru Selatan,3.496619
2021,Kota Ambon,4.077722
2021,Kota Tual,3.581746
2021,Maluku,3.625253
2022,Kepulauan Tanimbar,5.653964
2022,Maluku Tenggara,5.647336
2022,Maluku Tengah,5.210636
2022,Buru,5.337286
2022,Kepulauan Aru,5.636087
2022,Seram Bagian Barat,5.617204
2022,Seram Bagian Timur,4.100184
2022,Maluku Barat Daya,10.283459
2022,Buru Selatan,5.525613
2022,Kota Ambon,5.103792
2022,Kota Tual,5.651291
2022,Maluku,5.312974
2023,Kepulauan Tanimbar,4.411662
2023,Maluku Tenggara,4.842395
2023,Maluku Tengah,4.345028
2023,Buru,4.018114
2023,Kepulauan Aru,4.970383
2023,Seram Bagian Barat,4.660937
2023,Seram Bagian Timur,3.90635
2023,Maluku Barat Daya,24.695981
2023,Buru Selatan,4.58361
2023,Kota Ambon,4.466769
2023,Kota Tual,5.851298
2023,Maluku,5.205744
2024,Kepulauan Tanimbar,4.618196
2024,Maluku Tenggara,5.441432
2024,Maluku Tengah,5.278298
2024,Buru,4.376506
2024,Kepulauan Aru,5.452047
2024,Seram Bagian Barat,5.623687
2024,Seram Bagian Timur,3.579198
2024,Maluku Barat Daya,6.704786
2024,Buru Selatan,4.967214
2024,Kota Ambon,5.962849
2024,Kota Tual,4.932291
2024,Maluku,5.342578
2025,Kepulauan Tanimbar,4.594895
2025,Maluku Tenggara,4.569414
2025,Maluku Tengah,4.764216
2025,Buru,4.006531
2025,Kepulauan Aru,5.066443
2025,Seram Bagian Barat,4.347285
2025,Seram Bagian Timur,3.486875
2025,Maluku Barat Daya,3.491953
2025,Buru Selatan,4.208674
2025,Kota Ambon,4.865653
2025,Kota Tual,4.289813
2025,Maluku,4.557895
