periode,kab_kota,pendidikan,tpt_persen
2023-08,Kepulauan Tanimbar,Sekolah Dasar,1.125761
2023-08,Kepulauan Tanimbar,Sekolah Menengah Pertama,0.774724
2023-08,Kepulauan Tanimbar,Sekolah Menengah Atas,8.259455
2023-08,Kepulauan Tanimbar,Sekolah Menengah Kejuruan,11.259317
2023-08,Kepulauan Tanimbar,Diploma I/II/III,5.82878
2023-08,Kepulauan Tanimbar,"Diploma IV, S1, S2, S3",5.950912
2023-08,Maluku Tenggara,Sekolah Dasar,1.155509
2023-08,Maluku Tenggara,Sekolah Menengah Pertama,5.269841
2023-08,Maluku Tenggara,Sekolah Menengah Atas,8.365622
2023-08,Maluku Tenggara,Sekolah Menengah Kejuruan,5.442177
2023-08,Maluku Tenggara,Diploma I/II/III,3.810775
2023-08,Maluku Tenggara,"Diploma IV, S1, S2, S3",10.904516
2023-08,Maluku Tengah,Sekolah Dasar,4.176891
2023-08,Maluku Tengah,Sekolah Menengah Pertama,3.706702
2023-08,Maluku Tengah,Sekolah Menengah Atas,10.27872
2023-08,Maluku Tengah,Sekolah Menengah Kejuruan,11.532252
2023-08,Maluku Tengah,Diploma I/II/III,3.920836
2023-08,Maluku Tengah,"Diploma IV, S1, S2, S3",5.241497
2023-08,Buru,Sekolah Dasar,0.733018
2023-08,Buru,Sekolah Menengah Pertama,3.459525
2023-08,Buru,Sekolah Menengah Atas,6.87833
2023-08,Buru,Sekolah Menengah Kejuruan,12.651142
2023-08,Buru,Diploma I/II/III,4.927727
2023-08,Buru,"Diploma IV, S1, S2, S3",8.710732
2023-08,Kepulauan Aru,Sekolah Dasar,1.080417
2023-08,Kepulauan Aru,Sekolah Menengah Pertama,0.898372
2023-08,Kepulauan Aru,Sekolah Menengah Atas,3.751328
2023-08,Kepulauan Aru,Sekolah Menengah Kejuruan,5.728999
2023-08,Kepulauan Aru,Diploma I/II/III,0.0
2023-08,Kepulauan Aru,"Diploma IV, S1, S2, S3",2.500467
2023-08,Seram Bagian Barat,Sekolah Dasar,0.316344
2023-08,Seram Bagian Barat,Sekolah Menengah Pertama,0.627456
2023-08,Seram Bagian Barat,Sekolah Menengah Atas,6.422106
2023-08,Seram Bagian Barat,Sekolah Menengah Kejuruan,0.0
2023-08,Seram Bagian Barat,Diploma I/II/III,12.418301
2023-08,Seram Bagian Barat,"Diploma IV, S1, S2, S3",19.35167
2023-08,Seram Bagian Timur,Sekolah Dasar,0.462328
2023-08,Seram Bagian Timur,Sekolah Menengah Pertama,1.939058
2023-08,Seram Bagian Timur,Sekolah Menengah Atas,6.537024
2023-08,Seram Bagian Timur,Sekolah Menengah Kejuruan,15.178571
2023-08,Seram Bagian Timur,Diploma I/II/III,0.0
2023-08,Seram Bagian Timur,"Diploma IV, S1, S2, S3",3.056822
2023-08,Maluku Barat Daya,Sekolah Dasar,1.463128
