periode,kab_kota,tpt_persen
2022-08,Kepulauan Tanimbar,4.33
2022-08,Maluku Tenggara,5.74
2022-08,Maluku Tengah,6.76
2022-08,Buru,4.99
2022-08,Kepulauan Aru,2.1
2022-08,Seram Bagian Barat,5.45
2022-08,Seram Bagian Timur,3.38
2022-08,Maluku Barat Daya,2.47
2022-08,Buru Selatan,0.98
2022-08,Kota Ambon,11.67
2022-08,Kota Tual,9.07
2022-08,Maluku,6.88
2023-08,Kepulauan Tanimbar,4.31
2023-08,Maluku Tenggara,5.73
2023-08,Maluku Tengah,6.75
2023-08,Buru,4.86
2023-08,Kepulauan Aru,1.96
2023-08,Seram Bagian Barat,4.74
2023-08,Seram Bagian Timur,3.31
2023-08,Maluku Barat Daya,2.43
2023-08,Buru Selatan,0.97
2023-08,Kota Ambon,11.65
2023-08,Kota Tual,8.98
2023-08,Maluku,6.31
2024-08,Kepulauan Tanimbar,4.24
2024-08,Maluku Tenggara,5.68
2024-08,Maluku Tengah,6.5
2024-08,Buru,4.66
2024-08,Kepulauan Aru,1.83
2024-08,Seram Bagian Barat,4.52
2024-08,Seram Bagian Timur,3.24
2024-08,Maluku Barat Daya,2.36
2024-08,Buru Selatan,1.35
2024-08,Kota Ambon,11.44
2024-08,Kota Tual,8.68
2024-08,Maluku,6.11
2025-08,Kepulauan Tanimbar,4.21
2025-08,Maluku Tenggara,6.01
2025-08,Maluku Tengah,6.93
2025-08,Buru,4.66
2025-08,Kepulauan Aru,2.1
2025-08,Seram Bagian Barat,4.92
2025-08,Seram Bagian Timur,3.18
2025-08,Maluku Barat Daya,2.69
2025-08,Buru Selatan,1.29
2025-08,Kota Ambon,11.37
2025-08,Kota Tual,8.96
2025-08,Maluku,6.27
