periode,kab_kota,kelompok_usia,tpt_persen
2023-08,Kepulauan Tanimbar,Usia 15-19,15.861285
2023-08,Kepulauan Tanimbar,Usia 20-24,12.578384
2023-08,Kepulauan Tanimbar,Usia 25-29,14.645551
2023-08,Kepulauan Tanimbar,Usia 30-34,1.175779
2023-08,Kepulauan Tanimbar,Usia 35-39,2.764647
2023-08,Maluku Tenggara,Usia 15-19,18.994413
2023-08,Maluku Tenggara,Usia 20-24,23.127324
2023-08,Maluku Tenggara,Usia 25-29,7.445969
2023-08,Maluku Tenggara,Usia 30-34,6.188688
2023-08,Maluku Tenggara,Usia 35-39,6.476443
2023-08,Maluku Tengah,Usia 15-19,20.939988
2023-08,Maluku Tengah,Usia 20-24,31.53188
2023-08,Maluku Tengah,Usia 25-29,7.887464
2023-08,Maluku Tengah,Usia 30-34,4.493062
2023-08,Maluku Tengah,Usia 35-39,2.412085
2023-08,Buru,Usia 15-19,18.53408
2023-08,Buru,Usia 20-24,14.875944
2023-08,Buru,Usia 25-29,6.471024
2023-08,Buru,Usia 30-34,5.81091
2023-08,Buru,Usia 35-39,1.187264
2023-08,Kepulauan Aru,Usia 15-19,5.826957
2023-08,Kepulauan Aru,Usia 20-24,12.511478
2023-08,Kepulauan Aru,Usia 25-29,3.195876
2023-08,Kepulauan Aru,Usia 30-34,0.386036
2023-08,Kepulauan Aru,Usia 35-39,0.0
2023-08,Seram Bagian Barat,Usia 15-19,14.023796
2023-08,Seram Bagian Barat,Usia 20-24,15.781575
2023-08,Seram Bagian Barat,Usia 25-29,7.988194
2023-08,Seram Bagian Barat,Usia 30-34,12.123575
2023-08,Seram Bagian Barat,Usia 35-39,2.578546
2023-08,Seram Bagian Timur,Usia 15-19,7.464539
2023-08,Seram Bagian Timur,Usia 20-24,15.595806
2023-08,Seram Bagian Timur,Usia 25-29,4.576627
2023-08,Seram Bagian Timur,Usia 30-34,2.936631
2023-08,Seram Bagian Timur,Usia 35-39,0.0
2023-08,Maluku Barat Daya,Usia 15-19,2.55
2023-08,Maluku Barat Daya,Usia 20-24,7.054455
2023-08,Maluku Barat Daya,Usia 25-29,4.197936
2023-08,Maluku Barat Daya,Usia 30-34,3.912664
2023-08,Maluku Barat Daya,Usia 35-39,1.111785
