waktu,nama_pemda,inflasi_bulanan,inflasi_tahunan
2021/10/01,Maluku,0.19,
2021/11/01,Maluku,1.06,
2021/12/01,Maluku,0.82,
2022/01/01,Ambon,,4.38
2022/01/01,Maluku,0.33,
2022/01/01,Nasional,,0.56
2022/01/01,Tual,,3.69
2022/02/01,Ambon,,4.36
2022/02/01,Maluku,-0.48,
2022/02/01,Nasional,,0.02
2022/02/01,Tual,,2.6
2022/03/01,Ambon,,4.46
2022/03/01,Maluku,0.44,
2022/03/01,Nasional,,0.66
2022/03/01,Tual,,2.12
2022/04/01,Ambon,,5.04
2022/04/01,Maluku,0.77,
2022/04/01,Nasional,,0.95
2022/04/01,Tual,,3.36
2022/05/01,Ambon,,4.96
2022/05/01,Maluku,0.73,
2022/05/01,Nasional,,0.4
2022/05/01,Tual,,4.51
2022/06/01,Ambon,,4.17
2022/06/01,Maluku,0.11,
2022/06/01,Nasional,,0.61
2022/06/01,Tual,,4.52
2022/07/01,Ambon,,5.85
2022/07/01,Maluku,1.68,
2022/07/01,Nasional,,0.64
2022/07/01,Tual,,5.05
2022/08/01,Ambon,,6.83
2022/08/01,Maluku,0.71,
2022/08/01,Nasional,,3.63
2022/08/01,Tual,,3.99
2022/09/01,Ambon,,7.02
2022/09/01,Maluku,0.34,
2022/09/01,Nasional,,1.17
2022/09/01,Tual,,4.97
2022/10/01,Ambon,,6.64
2022/10/01,Maluku,-0.2,
2022/10/01,Nasional,,5.71
2022/10/01,Tual,,4.14
2022/11/01,Ambon,,6.65
2022/11/01,Maluku,1.13,
2022/11/01,Nasional,,5.42
2022/11/01,Tual,,5.18
2022/12/01,Ambon,,6.39
2022/12/01,Maluku,0.56,
2022/12/01,Nasional,,5.51
2022/12/01,Tual,,4.52
2023/01/01,Ambon,,5.81
2023/01/01,Maluku,-0.17,5.75
2023/01/01,Nasional,,5.28
2023/01/01,Tual,,4.87
2023/02/01,Ambon,,5.64
2023/02/01,Maluku,-0.53,5.7
2023/02/01,Nasional,,5.47
2023/02/01,Tual,,6.73
2023/03/01,Ambon,,5.3
2023/03/01,Maluku,0.18,5.43
2023/03/01,Nasional,,4.97
2023/03/01,Tual,,7.49
2023/04/01,Ambon,,4.86
2023/04/01,Maluku,0.3,4.94
2023/04/01,Nasional,,4.33
2023/04/01,Tual,,6.15
2023/05/01,Ambon,,5.04
2023/05/01,Maluku,0.85,5.06
2023/05/01,Nasional,,4
2023/05/01,Tual,,5.59
2023/06/01,Ambon,,6.1
2023/06/01,Maluku,1.07,6.07
2023/06/01,Nasional,,3.5
2023/06/01,Tual,,5.57
2023/07/01,Ambon,,4.29
2023/07/01,Maluku,-0.09,4.23
2023/07/01,Nasional,,3.08
2023/07/01,Tual,,3.32
2023/08/01,Ambon,,3.08
2023/08/01,Maluku,-0.3,3.18
2023/08/01,Nasional,,3.27
2023/08/01,Tual,,4.68
2023/09/01,Ambon,,3.04
2023/09/01,Maluku,0.27,3.1
2023/09/01,Nasional,,2.28
2023/09/01,Tual,,4.26
2023/10/01,Ambon,,3.56
2023/10/01,Maluku,0.3,3.62
2023/10/01,Nasional,,2.56
2023/10/01,Tual,,4.55
2023/11/01,Ambon,,2.96
2023/11/01,Maluku,0.5,2.96
2023/11/01,Nasional,,2.86
2023/11/01,Tual,,3.15
2023/12/01,Ambon,,2.77
2023/12/01,Maluku,0.41,2.81
2023/12/01,Nasional,,2.61
2023/12/01,Tual,,3.32
2024/01/01,Ambon,,2.74
2024/01/01,Maluku,0.19,4.12
2024/01/01,MalukuTengah,,6.46
2024/01/01,Nasional,,2.57
2024/01/01,Tual,,2.88
2024/02/01,Ambon,,2.89
2024/02/01,Maluku,1.19,3.02
2024/02/01,MalukuTengah,,3.26
2024/02/01,Nasional,,2.75
2024/02/01,Tual,,2.88
2024/03/01,Ambon,,2.8
2024/03/01,Maluku,0.46,2.75
2024/03/01,MalukuTengah,,2.71
2024/03/01,Nasional,,3.05
2024/03/01,Tual,,2.59
2024/04/01,Ambon,,2.83
2024/04/01,Maluku,0.29,2.43
2024/04/01,MalukuTengah,,1.81
2024/04/01,Nasional,,3
2024/04/01,Tual,,2.29
2024/05/01,Ambon,,4.61
2024/05/01,Maluku,1.89,3.21
2024/05/01,MalukuTengah,,1.01
2024/05/01,Nasional,,2.84
2024/05/01,Tual,,3.7
2024/06/01,Ambon,,4.49
2024/06/01,Maluku,1.33,3.63
2024/06/01,MalukuTengah,,2.36
2024/06/01,Nasional,,2.51
2024/06/01,Tual,,3.39
2024/07/01,Ambon,,3.17
2024/07/01,Maluku,-0.82,2.71
2024/07/01,MalukuTengah,,2.03
2024/07/01,Nasional,,2.13
2024/07/01,Tual,,2.42
2024/08/01,Ambon,,3.46
2024/08/01,Maluku,-0.34,2.58
2024/08/01,MalukuTengah,,1.38
2024/08/01,Nasional,,2.12
2024/08/01,Tual,,1.64
2024/09/01,Ambon,,2.66
2024/09/01,Maluku,-0.07,1.79
2024/09/01,MalukuTengah,,0.63
2024/09/01,Nasional,,1.84
2024/09/01,Tual,,0.59
2024/10/01,Ambon,,2.21
2024/10/01,Maluku,0.65,2.13
2024/10/01,MalukuTengah,,2.01
2024/10/01,Nasional,,1.71
2024/10/01,Tual,,2.3
2024/11/01,Ambon,,2.65
2024/11/01,Maluku,0.23,2.23
2024/11/01,MalukuTengah,,1.84
2024/11/01,Nasional,,1.55
2024/11/01,Tual,,0.5
2024/12/01,Ambon,,1.92
2024/12/01,Maluku,-0.41,1.28
2024/12/01,MalukuTengah,,0.45
2024/12/01,Nasional,,1.57
2024/12/01,Tual,,0.16
2025/01/01,Ambon,,0.75
2025/01/01,Maluku,-0.33,0.76
2025/01/01,MalukuTengah,,1.01
2025/01/01,Nasional,,0.76
2025/01/01,Tual,,-1.07
2025/02/01,Ambon,,0.58
2025/02/01,Maluku,-0.63,1.33
2025/02/01,MalukuTengah,,2.85
2025/02/01,Nasional,,0.09
