NO,Tahun,NAMA_BANK,NAMA_SKEMA,NAMA_SEKTOR,BULAN,NAMA_PROVINSI,NAMA_WILAYAH,JML_DEBITUR, JML_PENYALURAN , JML_OUTSTANDING ,
1,2022,BPD Jabar,KECIL,PERDAGANGAN BESAR DAN ECERAN,5,Maluku,Kab. Maluku Tenggara,1," 500,000,000.00 ", -   ,
2,2022,BPD Jawa Tengah,MIKRO,PERDAGANGAN BESAR DAN ECERAN,8,Maluku,Kota Ambon,1," 65,000,000.00 ", -   ,
3,2022,BPD Jawa Tengah Syariah,KECIL,PERDAGANGAN BESAR DAN ECERAN,9,Maluku,Kota Ambon,1," 150,000,000.00 ", -   ,
4,2022,BPD Papua,SUPERMI,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,8,Maluku,Kab. Buru,1," 10,000,000.00 ", -   ,
5,2022,BPD Sulawesi Tenggara,KECIL,PERDAGANGAN BESAR DAN ECERAN,10,Maluku,Kota Ambon,1," 500,000,000.00 ", -   ,
6,2022,Bank Central Asia,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",8,Maluku,Kota Ambon,1," 250,000,000.00 "," 28,962,598.00 ",
7,2022,Bank Central Asia,KECIL,PERDAGANGAN BESAR DAN ECERAN,5,Maluku,Kota Ambon,1," 150,000,000.00 ", -   ,
8,2022,Bank Central Asia,KECIL,PERDAGANGAN BESAR DAN ECERAN,8,Maluku,Kota Ambon,2," 500,000,000.00 "," 57,853,395.00 ",
9,2022,Bank Central Asia,KECIL,"TRANSPORTASI, PERGUDANGAN DAN KOMUNIKASI",7,Maluku,Kota Ambon,1," 150,000,000.00 "," 10,541,841.00 ",
10,2022,Bank Central Asia,MIKRO,PERDAGANGAN BESAR DAN ECERAN,3,Maluku,Kota Ambon,1," 50,000,000.00 "," 8,954,755.00 ",
11,2022,Bank Mandiri,KECIL,INDUSTRI PENGOLAHAN,1,Maluku,Kab. Buru,1," 105,000,000.00 ", -   ,
12,2022,Bank Mandiri,KECIL,INDUSTRI PENGOLAHAN,2,Maluku,Kab. Kepulauan Aru,1," 200,000,000.00 "," 41,633,792.00 ",
13,2022,Bank Mandiri,KECIL,INDUSTRI PENGOLAHAN,2,Maluku,Kab. Maluku Tengah,1," 350,000,000.00 ", -   ,
14,2022,Bank Mandiri,KECIL,INDUSTRI PENGOLAHAN,3,Maluku,Kab. Maluku Tengah,2," 400,000,000.00 ", -   ,
15,2022,Bank Mandiri,KECIL,INDUSTRI PENGOLAHAN,4,Maluku,Kab. Buru,1," 200,000,000.00 "," 4,789,564.00 ",
16,2022,Bank Mandiri,KECIL,INDUSTRI PENGOLAHAN,6,Maluku,Kab. Maluku Tengah,1," 150,000,000.00 ", -   ,
17,2022,Bank Mandiri,KECIL,INDUSTRI PENGOLAHAN,9,Maluku,Kab. Buru,1," 200,000,000.00 ", -   ,
18,2022,Bank Mandiri,KECIL,INDUSTRI PENGOLAHAN,10,Maluku,Kab. Buru,2," 305,000,000.00 ", -   ,
19,2022,Bank Mandiri,KECIL,INDUSTRI PENGOLAHAN,10,Maluku,Kab. Maluku Tengah,3," 551,000,000.00 ", -   ,
20,2022,Bank Mandiri,KECIL,INDUSTRI PENGOLAHAN,11,Maluku,Kab. Buru,1," 105,000,000.00 ", -   ,
21,2022,Bank Mandiri,KECIL,INDUSTRI PENGOLAHAN,11,Maluku,Kab. Kepulauan Tanimbar,1," 200,000,000.00 ", -   ,
22,2022,Bank Mandiri,KECIL,INDUSTRI PENGOLAHAN,11,Maluku,Kota Ambon,1," 120,000,000.00 ", -   ,
23,2022,Bank Mandiri,KECIL,INDUSTRI PENGOLAHAN,12,Maluku,Kab. Kepulauan Tanimbar,2," 230,000,000.00 "," 22,731,379.00 ",
24,2022,Bank Mandiri,KECIL,INDUSTRI PENGOLAHAN,12,Maluku,Kota Ambon,1," 300,000,000.00 "," 115,347,126.00 ",
25,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",1,Maluku,Kota Ambon,1," 200,000,000.00 ", -   ,
26,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",2,Maluku,Kab. Maluku Tengah,1," 200,000,000.00 ", -   ,
27,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",2,Maluku,Kota Ambon,1," 300,000,000.00 ", -   ,
28,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",5,Maluku,Kab. Seram Bagian Barat,1," 200,000,000.00 ", -   ,
29,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",6,Maluku,Kab. Buru,1," 110,000,000.00 ", -   ,
30,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",6,Maluku,Kab. Maluku Tengah,1," 200,000,000.00 ", -   ,
31,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",6,Maluku,Kota Ambon,1," 120,000,000.00 ", -   ,
32,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",8,Maluku,Kab. Buru,1," 200,000,000.00 ", -   ,
33,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",10,Maluku,Kota Tual,1," 101,000,000.00 ", -   ,
34,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",11,Maluku,Kab. Buru,2," 300,000,000.00 ", -   ,
35,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",11,Maluku,Kab. Kepulauan Tanimbar,1," 110,000,000.00 ", -   ,
36,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",11,Maluku,Kab. Maluku Barat Daya,1," 105,000,000.00 ", -   ,
37,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",11,Maluku,Kota Ambon,1," 150,000,000.00 ", -   ,
38,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",12,Maluku,Kab. Buru,1," 150,000,000.00 "," 30,942,587.00 ",
39,2022,Bank Mandiri,KECIL,"JASA KEMASYARAKATAN, SOSIAL BUDAYA, HIBURAN DAN PERORANGAN LAINNYA",12,Maluku,Kab. Maluku Tengah,1," 101,000,000.00 ", -   ,
40,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,1,Maluku,Kab. Maluku Tengah,1," 200,000,000.00 ", -   ,
41,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,1,Maluku,Kota Ambon,1," 200,000,000.00 ", -   ,
42,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,2,Maluku,Kab. Maluku Tengah,2," 379,000,000.00 ", -   ,
43,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,2,Maluku,Kota Ambon,2," 310,000,000.00 ", -   ,
44,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,3,Maluku,Kab. Maluku Barat Daya,2," 305,000,000.00 ", -   ,
45,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,3,Maluku,Kab. Maluku Tengah,2," 500,000,000.00 ", -   ,
46,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,3,Maluku,Kota Ambon,3," 480,000,000.00 ", -   ,
47,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,4,Maluku,Kab. Maluku Tengah,1," 150,000,000.00 ", -   ,
48,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,4,Maluku,Kota Tual,1," 200,000,000.00 ", -   ,
49,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,5,Maluku,Kab. Buru,1," 150,000,000.00 ", -   ,
50,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,5,Maluku,Kab. Maluku Tengah,2," 400,000,000.00 "," 4,808,011.00 ",
51,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,5,Maluku,Kota Ambon,1," 300,000,000.00 ", -   ,
52,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,6,Maluku,Kab. Maluku Barat Daya,1," 350,000,000.00 ", -   ,
53,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,6,Maluku,Kab. Seram Bagian Timur,1," 110,000,000.00 "," 5,808,754.00 ",
54,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,6,Maluku,Kota Ambon,2," 400,000,000.00 ", -   ,
55,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,7,Maluku,Kota Ambon,1," 150,000,000.00 ", -   ,
56,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,8,Maluku,Kab. Maluku Tengah,2," 400,000,000.00 "," 34,005,828.00 ",
57,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,9,Maluku,Kota Ambon,3," 900,000,000.00 ", -   ,
58,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,10,Maluku,Kab. Maluku Tengah,3," 450,000,000.00 "," 65,834,585.00 ",
59,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,10,Maluku,Kab. Seram Bagian Barat,1," 200,000,000.00 ", -   ,
60,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,10,Maluku,Kota Ambon,7," 1,300,000,000.00 "," 257,382,280.00 ",
61,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,11,Maluku,Kab. Kepulauan Tanimbar,1," 110,000,000.00 ", -   ,
62,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,11,Maluku,Kab. Maluku Barat Daya,1," 150,000,000.00 "," 55,429,509.00 ",
63,2022,Bank Mandiri,KECIL,PENYEDIAAN AKOMODASI DAN PENYEDIAAN MAKAN MINUM,11,Maluku,Kota Ambon,7," 1,490,000,000.00 "," 188,821,542.00 ",
