periode,kab_kota,segmen_kredit,outstanding_rp_juta,pertumbuhan_yoy_persen
2026-7,KOTA AMBON,Investasi,912063.2,3.99
2026-7,KOTA AMBON,Konsumsi,6918605.72,6.57
2026-7,KOTA AMBON,Modal Kerja,4188650.45,1.09
2026-7,KAB. SERAM BAGIAN TIMUR,Investasi,2229.37,449.18
2026-7,KAB. SERAM BAGIAN TIMUR,Konsumsi,420659.95,12.02
2026-7,KAB. SERAM BAGIAN TIMUR,Modal Kerja,4065.45,-27.84
2026-7,KAB. KEPULAUAN ARU,Investasi,37931.25,3.49
2026-7,KAB. KEPULAUAN ARU,Konsumsi,348974.09,7.85
2026-7,KAB. KEPULAUAN ARU,Modal Kerja,171967.05,5.35
2026-7,KAB. MALUKU TENGAH,Investasi,305996.08,28.59
2026-7,KAB. MALUKU TENGAH,Konsumsi,1398711.96,10.17
2026-7,KAB. MALUKU TENGAH,Modal Kerja,714233.17,-8.03
2026-7,KAB. BURU,Investasi,1034.07,77.65
2026-7,KAB. BURU,Konsumsi,496803.98,7.55
2026-7,KAB. BURU,Modal Kerja,10019.51,19.59
2026-7,KAB. BURU SELATAN,Investasi,646.11,58.38
2026-7,KAB. BURU SELATAN,Konsumsi,332105.7,12.78
2026-7,KAB. BURU SELATAN,Modal Kerja,1874.74,-22.18
2026-7,KAB. SERAM BAGIAN BARAT,Investasi,80.25,-6.51
2026-7,KAB. SERAM BAGIAN BARAT,Konsumsi,533941.31,3.95
2026-7,KAB. SERAM BAGIAN BARAT,Modal Kerja,2453.02,-12.31
2026-7,KAB. KEPULAUAN TANIMBAR,Investasi,71980.84,30.47
2026-7,KAB. KEPULAUAN TANIMBAR,Konsumsi,1352178.74,14.64
2026-7,KAB. KEPULAUAN TANIMBAR,Modal Kerja,405075.7,-6.23
2026-7,KAB. MALUKU BARAT DAYA,Investasi,76.39,161.9
2026-7,KAB. MALUKU BARAT DAYA,Konsumsi,247988.93,9.96
2026-7,KAB. MALUKU BARAT DAYA,Modal Kerja,1862.64,-23.01
2026-7,KOTA TUAL/KAB. MALUKU TENGGARA,Investasi,101536.01,16.18
2026-7,KOTA TUAL/KAB. MALUKU TENGGARA,Konsumsi,1523818.32,7.0
2026-7,KOTA TUAL/KAB. MALUKU TENGGARA,Modal Kerja,357802.72,-0.81
