periode,kab_kota,segmen_kredit,npl_persen
2026-7,KOTA AMBON,Investasi,2.58
2026-7,KOTA AMBON,Konsumsi,2.15
2026-7,KOTA AMBON,Modal Kerja,6.18
2026-7,KAB. SERAM BAGIAN TIMUR,Investasi,2.25
2026-7,KAB. SERAM BAGIAN TIMUR,Konsumsi,2.02
2026-7,KAB. SERAM BAGIAN TIMUR,Modal Kerja,6.35
2026-7,KAB. KEPULAUAN ARU,Investasi,4.7
2026-7,KAB. KEPULAUAN ARU,Konsumsi,2.33
2026-7,KAB. KEPULAUAN ARU,Modal Kerja,1.99
2026-7,KAB. MALUKU TENGAH,Investasi,2.71
2026-7,KAB. MALUKU TENGAH,Konsumsi,1.44
2026-7,KAB. MALUKU TENGAH,Modal Kerja,3.85
2026-7,KAB. BURU,Investasi,13.74
2026-7,KAB. BURU,Konsumsi,0.59
2026-7,KAB. BURU,Modal Kerja,20.18
2026-7,KAB. BURU SELATAN,Investasi,7.2
2026-7,KAB. BURU SELATAN,Konsumsi,1.64
2026-7,KAB. BURU SELATAN,Modal Kerja,37.64
2026-7,KAB. SERAM BAGIAN BARAT,Investasi,72.42
2026-7,KAB. SERAM BAGIAN BARAT,Konsumsi,4.19
2026-7,KAB. SERAM BAGIAN BARAT,Modal Kerja,41.11
2026-7,KAB. KEPULAUAN TANIMBAR,Investasi,5.82
2026-7,KAB. KEPULAUAN TANIMBAR,Konsumsi,1.42
2026-7,KAB. KEPULAUAN TANIMBAR,Modal Kerja,13.31
2026-7,KAB. MALUKU BARAT DAYA,Investasi,38.18
2026-7,KAB. MALUKU BARAT DAYA,Konsumsi,3.98
2026-7,KAB. MALUKU BARAT DAYA,Modal Kerja,29.66
2026-7,KOTA TUAL/KAB. MALUKU TENGGARA,Investasi,7.12
2026-7,KOTA TUAL/KAB. MALUKU TENGGARA,Konsumsi,4.55
2026-7,KOTA TUAL/KAB. MALUKU TENGGARA,Modal Kerja,9.95
